RK,Team,Total Points,Previous Points,+/-,Match window,More
1,ArgentinaARG https://api.fifa.com/api/v3/picture/flags-sq-2/,1855.2,1855.2,-,,
2,FranceFRA https://api.fifa.com/api/v3/picture/flags-sq-2/,1845.44,1845.44,-,,
3,EnglandENG https://api.fifa.com/api/v3/picture/flags-sq-2/,1800.05,1800.05,-,,
4,BelgiumBEL https://api.fifa.com/api/v3/picture/flags-sq-2/,1798.46,1798.46,-,,
5,BrazilBRA https://api.fifa.com/api/v3/picture/flags-sq-2/,1784.09,1784.09,-,,
6,NetherlandsNED https://api.fifa.com/api/v3/picture/flags-sq-2/,1745.48,1745.48,-,,
7,PortugalPOR https://api.fifa.com/api/v3/picture/flags-sq-2/,1745.06,1745.06,-,,
8,SpainESP https://api.fifa.com/api/v3/picture/flags-sq-2/,1732.64,1732.64,-,,
9,ItalyITA https://api.fifa.com/api/v3/picture/flags-sq-2/,1718.82,1718.82,-,,
10,CroatiaCRO https://api.fifa.com/api/v3/picture/flags-sq-2/,1717.57,1717.57,-,,
11,UruguayURU https://api.fifa.com/api/v3/picture/flags-sq-2/,1665.99,1665.99,-,,
12,USAUSA https://api.fifa.com/api/v3/picture/flags-sq-2/,1665.27,1665.27,-,,
13,MoroccoMAR https://api.fifa.com/api/v3/picture/flags-sq-2/,1661.69,1661.69,-,,
14,ColombiaCOL https://api.fifa.com/api/v3/picture/flags-sq-2/,1655.29,1651.2,4.09,WW,
15,MexicoMEX https://api.fifa.com/api/v3/picture/flags-sq-2/,1652.7,1655.21,-2.51,L,
16,GermanyGER https://api.fifa.com/api/v3/picture/flags-sq-2/,1631.22,1631.22,-,,
17,JapanJPN https://api.fifa.com/api/v3/picture/flags-sq-2/,1620.19,1620.19,-,,
18,SwitzerlandSUI https://api.fifa.com/api/v3/picture/flags-sq-2/,1613.44,1613.44,-,,
19,DenmarkDEN https://api.fifa.com/api/v3/picture/flags-sq-2/,1601.31,1601.31,-,,
20,SenegalSEN https://api.fifa.com/api/v3/picture/flags-sq-2/,1594.31,1594.31,-,,
21,IR IranIRN https://api.fifa.com/api/v3/picture/flags-sq-2/,1565.08,1565.08,-,,
22,UkraineUKR https://api.fifa.com/api/v3/picture/flags-sq-2/,1553.35,1553.35,-,,
23,Korea RepublicKOR https://api.fifa.com/api/v3/picture/flags-sq-2/,1550.65,1550.65,-,,
24,AustriaAUT https://api.fifa.com/api/v3/picture/flags-sq-2/,1546.1,1546.1,-,,
25,AustraliaAUS https://api.fifa.com/api/v3/picture/flags-sq-2/,1539.22,1539.22,-,,
26,SwedenSWE https://api.fifa.com/api/v3/picture/flags-sq-2/,1530.19,1530.19,-,,
27,HungaryHUN https://api.fifa.com/api/v3/picture/flags-sq-2/,1525.13,1525.13,-,,
28,TunisiaTUN https://api.fifa.com/api/v3/picture/flags-sq-2/,1523.23,1523.23,-,,
29,WalesWAL https://api.fifa.com/api/v3/picture/flags-sq-2/,1521.88,1521.88,-,,
30,AlgeriaALG https://api.fifa.com/api/v3/picture/flags-sq-2/,1520.26,1520.26,-,,
31,PolandPOL https://api.fifa.com/api/v3/picture/flags-sq-2/,1520.24,1520.24,-,,
32,EcuadorECU https://api.fifa.com/api/v3/picture/flags-sq-2/,1519.2,1519.2,-,,
33,EgyptEGY https://api.fifa.com/api/v3/picture/flags-sq-2/,1518.91,1518.91,-,,
34,SerbiaSRB https://api.fifa.com/api/v3/picture/flags-sq-2/,1517.43,1517.43,-,,
35,PeruPER https://api.fifa.com/api/v3/picture/flags-sq-2/,1512.68,1512.68,-,,
36,ScotlandSCO https://api.fifa.com/api/v3/picture/flags-sq-2/,1506.89,1506.89,-,,
37,TürkiyeTUR https://api.fifa.com/api/v3/picture/flags-sq-2/,1505.28,1505.28,-,,
38,RussiaRUS https://api.fifa.com/api/v3/picture/flags-sq-2/,1498.84,1498.84,-,,
39,CzechiaCZE https://api.fifa.com/api/v3/picture/flags-sq-2/,1494.04,1494.04,-,,
40,ChileCHI https://api.fifa.com/api/v3/picture/flags-sq-2/,1489.82,1489.82,-,,
41,PanamaPAN https://api.fifa.com/api/v3/picture/flags-sq-2/,1475.62,1475.62,-,,
42,NigeriaNGA https://api.fifa.com/api/v3/picture/flags-sq-2/,1474.44,1474.44,-,,
43,RomaniaROU https://api.fifa.com/api/v3/picture/flags-sq-2/,1472.73,1472.73,-,,
44,NorwayNOR https://api.fifa.com/api/v3/picture/flags-sq-2/,1472.36,1472.36,-,,
45,SlovakiaSVK https://api.fifa.com/api/v3/picture/flags-sq-2/,1465.73,1465.73,-,,
46,CameroonCMR https://api.fifa.com/api/v3/picture/flags-sq-2/,1463.06,1463.06,-,,
47,GreeceGRE https://api.fifa.com/api/v3/picture/flags-sq-2/,1453.95,1453.95,-,,
48,CanadaCAN https://api.fifa.com/api/v3/picture/flags-sq-2/,1453.76,1453.76,-,,
49,Côte d'IvoireCIV https://api.fifa.com/api/v3/picture/flags-sq-2/,1447.65,1447.65,-,,
50,VenezuelaVEN https://api.fifa.com/api/v3/picture/flags-sq-2/,1447.2,1448.77,-1.57,L,
51,MaliMLI https://api.fifa.com/api/v3/picture/flags-sq-2/,1445.6,1445.6,-,,
52,Costa RicaCRC https://api.fifa.com/api/v3/picture/flags-sq-2/,1437.57,1437.57,-,,
53,ParaguayPAR https://api.fifa.com/api/v3/picture/flags-sq-2/,1430.73,1430.73,-,,
54,SloveniaSVN https://api.fifa.com/api/v3/picture/flags-sq-2/,1427.84,1427.84,-,,
55,JamaicaJAM https://api.fifa.com/api/v3/picture/flags-sq-2/,1421.54,1421.54,-,,
56,Saudi ArabiaKSA https://api.fifa.com/api/v3/picture/flags-sq-2/,1421.06,1421.06,-,,
57,Burkina FasoBFA https://api.fifa.com/api/v3/picture/flags-sq-2/,1411.01,1411.01,-,,
58,QatarQAT https://api.fifa.com/api/v3/picture/flags-sq-2/,1407.3,1407.3,-,,
59,FinlandFIN https://api.fifa.com/api/v3/picture/flags-sq-2/,1401.31,1401.31,-,,
60,Republic of IrelandIRL https://api.fifa.com/api/v3/picture/flags-sq-2/,1399.6,1399.6,-,,
61,GhanaGHA https://api.fifa.com/api/v3/picture/flags-sq-2/,1384.19,1384.19,-,,
62,AlbaniaALB https://api.fifa.com/api/v3/picture/flags-sq-2/,1382.69,1382.69,-,,
63,IraqIRQ https://api.fifa.com/api/v3/picture/flags-sq-2/,1365.98,1365.98,-,,
64,United Arab EmiratesUAE https://api.fifa.com/api/v3/picture/flags-sq-2/,1364.46,1364.46,-,,
