RK,Team,Total Points,Previous Points,+/-,More
1,Spain,1564,1564,-,
2,Netherlands,1365,1365,-,
3,Germany,1345,1345,-,
4,Uruguay,1309,1309,-,
5,England,1173,1173,-,
6,Brazil,1143,1143,-,
7,Portugal,1100,1100,-,
8,Croatia,1091,1091,-,
9,Italy,1082,1082,-,
10,Argentina,1067,1067,-,
11,Denmark,1035,1035,-,
12,Russia,971,971,-,
13,Chile,970,970,-,
14,Greece,964,964,-,
15,France,915,915,-,
16,Côte d'Ivoire,912,912,-,
17,Switzerland,898,898,-,
18,Sweden,891,891,-,
19,Japan,884,884,-,
20,Bosnia and Herzegovina,869,838,31,
21,Mexico,866,866,-,
22,Republic of Ireland,864,864,-,
23,Australia,851,851,-,
24,Paraguay,795,795,-,
25,Norway,788,788,-,
26,Slovenia,780,780,-,
27,Serbia,775,775,-,
28,Turkey,769,769,-,
29,Ghana,761,761,-,
30,Algeria,758,758,-,
31,Egypt,755,757,-2,
32,Korea Republic,752,752,-,
33,Czech Republic,749,749,-,
34,USA,721,721,-,
35,Peru,712,712,-,
36,Colombia,709,709,-,
37,Hungary,665,665,-,
37,Israel,665,665,-,
39,Venezuela,661,661,-,
40,Slovakia,648,648,-,
41,Belgium,647,647,-,
42,Ecuador,634,630,4,
43,Nigeria,627,627,-,
44,Senegal,625,625,-,
45,IR Iran,616,616,-,
46,Armenia,612,612,-,
47,Scotland,599,599,-,
48,Wales,591,591,-,
49,Panama,589,585,4,
50,Cameroon,588,602,-14,
51,Montenegro,585,585,-,
52,South Africa,577,577,-,
53,Honduras,574,570,4,
54,Jamaica,573,609,-36,
55,Ukraine,568,568,-,
56,Romania,562,562,-,
57,Estonia,555,543,12,
58,Cape Verde Islands,549,544,5,
59,Tunisia,537,537,-,
60,Sierra Leone,526,521,5,
61,Morocco,524,524,-,
62,Burkina Faso,518,518,-,
63,Libya,514,514,-,
64,Belarus,501,501,-,
65,Costa Rica,495,503,-8,
66,Poland,492,487,5,
67,Mali,472,472,-,
68,Latvia,466,466,-,
69,El Salvador,463,463,-,
70,Austria,459,459,-,
71,China PR,457,455,2,
72,Canada,455,455,-,
73,Georgia,451,451,-,
74,Albania,450,450,-,
75,Uzbekistan,449,449,-,
76,Trinidad and Tobago,448,409,39,
77,Gabon,445,445,-,
78,Iraq,440,429,11,
79,Zambia,439,436,3,
80,Guinea,436,436,-,
81,Haiti,429,438,-9,
82,Jordan,417,419,-2,
83,Angola,412,412,-,
84,Bulgaria,410,410,-,
85,Oman,408,387,21,
86,Finland,405,405,-,
87,Antigua and Barbuda,404,418,-14,
88,Northern Ireland,403,403,-,
89,Uganda,398,394,4,
90,Guatemala,397,397,-,
91,Guyana,387,370,17,
92,Lithuania,382,382,-,
93,Qatar,378,375,3,
94,Malawi,374,407,-33,
95,Botswana,371,371,-,
96,Saudi Arabia,363,361,2,
97,Niger,361,361,-,
98,Zimbabwe,354,462,-108,
99,Kuwait,351,351,-,
0,Vietnam,351,234,117,
101,Bahrain,350,340,10,
101,Togo,350,350,-,
103,FYR Macedonia,333,333,-,
104,Iceland,325,325,-,
105,Mozambique,322,324,-2,
106,Rwanda,314,297,17,
107,Bermuda,310,307,3,
108,Bolivia,309,309,-,
108,Puerto Rico,309,309,-,
110,Korea DPR,306,306,-,
111,Lebanon,305,305,-,
112,Azerbaijan,300,300,-,
113,Sudan,297,304,-7,
114,Syria,291,293,-2,
115,Cuba,290,390,-100,
116,Faroe Islands,285,285,-,
116,Gambia,285,280,5,
116,St. Kitts and Nevis,285,284,1,
119,New Zealand,271,271,-,
120,Kenya,269,240,29,
121,Namibia,264,264,-,
122,Thailand,262,243,19,
123,Liberia,258,258,-,
124,Benin,257,257,-,
125,Congo DR,254,254,-,
126,Suriname,254,261,-7,
127,Cyprus,253,253,-,
128,Luxembourg,252,252,-,
129,Central African Republic,251,251,-,
130,United Arab Emirates,250,265,-15,
131,Dominican Republic,247,247,-,
132,Liechtenstein,246,246,-,
133,Congo,245,245,-,
134,Grenada,241,309,-68,
135,Ethiopia,230,225,5,
136,Moldova,229,229,-,
137,Tanzania,224,228,-4,
138,Kazakhstan,220,219,1,
139,Tajikistan,208,207,1,
140,Burundi,203,174,29,
141,Belize,194,194,-,
142,Indonesia,189,176,13,
143,Chad,188,188,-,
144,St. Vincent / Grenadines,170,170,-,
145,Singapore,165,146,19,
146,Turkmenistan,164,164,-,
147,Lesotho,160,160,-,
148,Malaysia,154,140,14,
149,Samoa,149,0,149,
150,Equatorial Guinea,148,148,-,
151,Curacao,146,154,-8,
151,Yemen,146,153,-7,
153,Nepal,144,177,-33,
154,Bahamas,141,141,-,
154,Nicaragua,141,141,-,
156,Malta,140,140,-,
157,Bangladesh,138,181,-43,
158,Palestine,137,113,24,
159,Philippines,136,130,6,
160,Madagascar,135,135,-,
161,Fiji,133,133,-,
162,India,131,119,12,
163,Guinea-Bissau,121,129,-8,
164,Aruba,120,92,28,
165,Barbados,119,125,-6,
166,New Caledonia,116,116,-,
167,Chinese Taipei,114,109,5,
168,Mongolia,106,106,-,
169,Hong Kong,105,105,-,
170,Cambodia,101,103,-2,
171,Dominica,100,90,10,
172,Myanmar,99,103,-4,
173,Maldives,98,106,-8,
174,Laos,96,86,10,
