RK,Team,Total Points,Previous Points,+/-,More
1,GermanyGER https://api.fifa.com/api/v3/picture/flags-sq-2/GER,1602,1602,-,
2,BrazilBRA https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,1483,1483,-,
3,PortugalPOR https://api.fifa.com/api/v3/picture/flags-sq-2/POR,1358,1358,-,
4,ArgentinaARG https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,1348,1348,-,
5,BelgiumBEL https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,1325,1325,-,
6,SpainESP https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,1231,1231,-,
7,PolandPOL https://api.fifa.com/api/v3/picture/flags-sq-2/POL,1209,1209,-,
8,SwitzerlandSUI https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,1190,1190,-,
9,FranceFRA https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,1183,1183,-,
10,ChileCHI https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,1162,1162,-,
11,PeruPER https://api.fifa.com/api/v3/picture/flags-sq-2/PER,1128,1128,-,
12,DenmarkDEN https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,1099,1099,-,
13,ColombiaCOL https://api.fifa.com/api/v3/picture/flags-sq-2/COL,1078,1078,-,
14,ItalyITA https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,1052,1052,-,
15,EnglandENG https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,1047,1047,-,
16,MexicoMEX https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,1032,1032,-,
17,CroatiaCRO https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,1018,1018,-,
18,SwedenSWE https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,998,998,-,
19,WalesWAL https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,985,985,-,
20,NetherlandsNED https://api.fifa.com/api/v3/picture/flags-sq-2/NED,952,952,-,
21,UruguayURU https://api.fifa.com/api/v3/picture/flags-sq-2/URU,924,924,-,
22,IcelandISL https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,910,910,-,
23,SenegalSEN https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,884,884,-,
24,USAUSA https://api.fifa.com/api/v3/picture/flags-sq-2/USA,867,867,-,
24,Northern IrelandNIR https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,867,867,-,
26,Costa RicaCRC https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,850,850,-,
27,TunisiaTUN https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,838,838,-,
28,SlovakiaSVK https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,817,817,-,
29,AustriaAUT https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,815,815,-,
30,ParaguayPAR https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,812,812,-,
31,EgyptEGY https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,805,805,-,
32,Republic of IrelandIRL https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,798,798,-,
33,IR IranIRN https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,798,798,-,
34,ScotlandSCO https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,798,798,-,
35,UkraineUKR https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,781,781,-,
36,SerbiaSRB https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,756,756,-,
37,Bosnia and HerzegovinaBIH https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,753,753,-,
38,AustraliaAUS https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,747,747,-,
39,Congo DRCOD https://api.fifa.com/api/v3/picture/flags-sq-2/COD,740,764,-24,
40,MoroccoMAR https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,738,738,-,
41,RomaniaROU https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,737,737,-,
42,TurkeyTUR https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,735,735,-,
43,BulgariaBUL https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,719,719,-,
44,Burkina FasoBFA https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,705,705,-,
45,CameroonCMR https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,696,696,-,
46,MontenegroMNE https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,681,681,-,
47,GreeceGRE https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,680,680,-,
48,Czech RepublicCZE https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,677,677,-,
49,BoliviaBOL https://api.fifa.com/api/v3/picture/flags-sq-2/BOL,674,674,-,
50,GhanaGHA https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,657,657,-,
51,NigeriaNGA https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,640,671,-31,
52,VenezuelaVEN https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,639,639,-,
53,HungaryHUN https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,630,630,-,
54,JamaicaJAM https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,625,625,-,
55,PanamaPAN https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,621,621,-,
56,HaitiHAI https://api.fifa.com/api/v3/picture/flags-sq-2/HAI,607,607,-,
57,JapanJPN https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,600,623,-23,
58,AlgeriaALG https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,588,537,51,
59,NorwayNOR https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,573,573,-,
60,Korea RepublicKOR https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,570,563,7,
61,Côte d'IvoireCIV https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,562,557,5,
62,AlbaniaALB https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,553,553,-,
63,Saudi ArabiaKSA https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,543,539,4,
64,RussiaRUS https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,534,534,-,
65,GuineaGUI https://api.fifa.com/api/v3/picture/flags-sq-2/GUI,532,532,-,
66,FinlandFIN https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,531,531,-,
67,Cape Verde IslandsCPV https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,530,530,-,
68,HondurasHON https://api.fifa.com/api/v3/picture/flags-sq-2/HON,525,521,4,
69,SloveniaSVN https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,522,522,-,
70,EcuadorECU https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,508,508,-,
