RK,Team,Total Points,Previous Points,+/-,Match window,More
1,Belgium,1780,1780,-,,
2,France,1755,1755,-,,
3,Brazil,1743,1743,-,,
4,England,1670,1670,-,,
5,Portugal,1662,1662,-,,
6,Spain,1645,1645,-,,
7,Argentina,1642,1642,-,,
8,Uruguay,1639,1639,-,,
9,Mexico,1632,1632,-,,
10,Italy,1625,1625,-,,
11,Croatia,1617,1617,-,,
12,Denmark,1614,1614,-,,
13,Germany,1610,1610,-,,
14,Netherlands,1609,1609,-,,
15,Colombia,1601,1601,-,,
16,Switzerland,1593,1586,7,,
17,Chile,1567,1567,-,,
18,Wales,1562,1562,-,,
19,Poland,1559,1559,-,,
20,Senegal,1558,1558,-,,
20,Sweden,1558,1558,-,,
22,USA,1545,1545,-,,
23,Austria,1531,1531,-,,
24,Ukraine,1521,1528,-7,,
25,Peru,1512,1512,-,,
26,Tunisia,1503,1503,-,,
27,Japan,1502,1502,-,,
28,Venezuela,1501,1501,-,,
29,IR Iran,1496,1496,-,,
30,Serbia,1495,1495,-,,
31,Algeria,1488,1488,-,,
32,Turkey,1487,1487,-,,
33,Slovakia,1478,1478,-,,
34,Paraguay,1476,1476,-,,
35,Morocco,1474,1474,-,,
35,Nigeria,1474,1474,-,,
37,Romania,1466,1466,-,,
38,Korea Republic,1465,1465,-,,
39,Russia,1461,1461,-,,
40,Hungary,1460,1460,-,,
41,Australia,1457,1457,-,,
42,Czech Republic,1456,1456,-,,
42,Republic of Ireland,1456,1456,-,,
44,Norway,1450,1450,-,,
45,Northern Ireland,1440,1440,-,,
46,Iceland,1438,1438,-,,
47,Jamaica,1437,1437,-,,
48,Scotland,1436,1436,-,,
49,Egypt,1432,1432,-,,
50,Cameroon,1428,1428,-,,
51,Costa Rica,1427,1427,-,,
52,Ghana,1424,1424,-,,
53,Greece,1413,1413,-,,
54,Finland,1411,1411,-,,
55,Bosnia and Herzegovina,1410,1410,-,,
56,Ecuador,1409,1409,-,,
57,Mali,1408,1408,-,,
58,Burkina Faso,1391,1391,-,,
58,Qatar,1391,1387,4,W,
60,Congo DR,1386,1386,-,,
61,Côte d'Ivoire,1384,1384,-,,
62,Slovenia,1379,1379,-,,
63,Montenegro,1370,1370,-,,
64,Honduras,1367,1367,-,,
65,North Macedonia,1362,1362,-,,
66,Albania,1360,1360,-,,
67,Saudi Arabia,1353,1353,-,,
68,Bulgaria,1350,1350,-,,
69,Iraq,1347,1347,-,,
70,El Salvador,1346,1346,-,,
71,South Africa,1341,1341,-,,
72,Canada,1332,1332,-,,
73,Guinea,1329,1329,-,,
74,United Arab Emirates,1326,1326,-,,
75,China PR,1323,1323,-,,
76,Curaçao,1313,1313,-,,
76,Syria,1313,1313,-,,
78,Panama,1311,1311,-,,
79,Uganda,1307,1307,-,,
79,Bolivia,1307,1307,-,,
81,Cabo Verde,1306,1306,-,,
82,Oman,1303,1303,-,,
83,Benin,1302,1302,-,,
84,Haiti,1285,1285,-,,
85,Uzbekistan,1283,1283,-,,
86,Gabon,1280,1280,-,,
87,Israel,1279,1279,-,,
88,Belarus,1269,1269,-,,
89,Georgia,1267,1267,-,,
90,Zambia,1265,1266,-1,,
91,Congo,1264,1264,-,,
92,Lebanon,1263,1263,-,,
93,Vietnam,1258,1258,-,,
94,Madagascar,1257,1257,-,,
95,Jordan,1244,1244,-,,
96,Kyrgyz Republic,1240,1240,-,,
97,Bahrain,1238,1238,-,,
98,Luxembourg,1235,1235,-,,
99,Armenia,1233,1233,-,,
100,Cyprus,1224,1224,-,,
101,Mauritania,1207,1207,-,,
102,Palestine,1204,1204,-,,
103,Trinidad and Tobago,1201,1201,-,,
104,Kenya,1187,1187,-,,
104,India,1187,1187,-,,
106,Mozambique,1185,1185,-,,
107,Faroe Islands,1183,1183,-,,
108,Zimbabwe,1181,1181,-,,
109,Azerbaijan,1180,1180,-,,
109,Estonia,1180,1180,-,,
111,Thailand,1178,1178,-,,
111,Libya,1178,1178,-,,
113,Niger,1173,1173,-,,
114,Central African Republic,1171,1171,-,,
115,Korea DPR,1170,1170,-,,
