RK,Team,Total Points,Previous Points,+/-,Match window,More
1,BelgiumBEL https://api.fifa.com/api/v3/picture/flags-sq-2/BEL,1828.45,1828.45,-,D,
2,BrazilBRA https://api.fifa.com/api/v3/picture/flags-sq-2/BRA,1826.35,1826.35,-,D,
3,FranceFRA https://api.fifa.com/api/v3/picture/flags-sq-2/FRA,1786.15,1786.15,-,W,
4,EnglandENG https://api.fifa.com/api/v3/picture/flags-sq-2/ENG,1755.52,1755.52,-,,
5,ArgentinaARG https://api.fifa.com/api/v3/picture/flags-sq-2/ARG,1750.51,1750.51,-,D,
6,ItalyITA https://api.fifa.com/api/v3/picture/flags-sq-2/ITA,1740.77,1740.77,-,,
7,SpainESP https://api.fifa.com/api/v3/picture/flags-sq-2/ESP,1704.75,1704.75,-,,
8,PortugalPOR https://api.fifa.com/api/v3/picture/flags-sq-2/POR,1660.25,1660.25,-,,
9,DenmarkDEN https://api.fifa.com/api/v3/picture/flags-sq-2/DEN,1654.54,1654.54,-,,
10,NetherlandsNED https://api.fifa.com/api/v3/picture/flags-sq-2/NED,1653.73,1653.73,-,W,
11,USAUSA https://api.fifa.com/api/v3/picture/flags-sq-2/USA,1648.51,1647.14,1.37,WD,
12,GermanyGER https://api.fifa.com/api/v3/picture/flags-sq-2/GER,1648.33,1648.33,-,,
13,SwitzerlandSUI https://api.fifa.com/api/v3/picture/flags-sq-2/SUI,1642.83,1642.83,-,,
14,MexicoMEX https://api.fifa.com/api/v3/picture/flags-sq-2/MEX,1638.3,1638.76,-0.46,DL,
15,CroatiaCRO https://api.fifa.com/api/v3/picture/flags-sq-2/CRO,1620.74,1620.74,-,,
16,ColombiaCOL https://api.fifa.com/api/v3/picture/flags-sq-2/COL,1607.15,1607.15,-,D,
17,UruguayURU https://api.fifa.com/api/v3/picture/flags-sq-2/URU,1596.66,1596.66,-,L,
18,SwedenSWE https://api.fifa.com/api/v3/picture/flags-sq-2/SWE,1588.26,1588.26,-,,
19,WalesWAL https://api.fifa.com/api/v3/picture/flags-sq-2/WAL,1578.01,1578.01,-,D,
20,SenegalSEN https://api.fifa.com/api/v3/picture/flags-sq-2/SEN,1561.68,1561.68,-,,
21,IR IranIRN https://api.fifa.com/api/v3/picture/flags-sq-2/IRN,1557.58,1557.58,-,W,
22,PeruPER https://api.fifa.com/api/v3/picture/flags-sq-2/PER,1551.15,1551.15,-,W,
23,SerbiaSRB https://api.fifa.com/api/v3/picture/flags-sq-2/SRB,1547.38,1547.38,-,,
24,ChileCHI https://api.fifa.com/api/v3/picture/flags-sq-2/CHI,1543.42,1541.33,2.09,WDL,
25,UkraineUKR https://api.fifa.com/api/v3/picture/flags-sq-2/UKR,1535.08,1535.08,-,W,
26,JapanJPN https://api.fifa.com/api/v3/picture/flags-sq-2/JPN,1531.53,1531.53,-,W,
27,PolandPOL https://api.fifa.com/api/v3/picture/flags-sq-2/POL,1530.62,1530.62,-,,
28,MoroccoMAR https://api.fifa.com/api/v3/picture/flags-sq-2/MAR,1529.93,1525.5,4.43,LWWWW,
29,AlgeriaALG https://api.fifa.com/api/v3/picture/flags-sq-2/ALG,1516.51,1508.54,7.97,WWWDWWD,
30,TunisiaTUN https://api.fifa.com/api/v3/picture/flags-sq-2/TUN,1512.72,1512.13,0.59,LWWWLWW,
31,AustriaAUT https://api.fifa.com/api/v3/picture/flags-sq-2/AUT,1511.56,1511.56,-,,
32,Czech RepublicCZE https://api.fifa.com/api/v3/picture/flags-sq-2/CZE,1510.42,1510.42,-,W,
33,Korea RepublicKOR https://api.fifa.com/api/v3/picture/flags-sq-2/KOR,1507.24,1507.24,-,W,
34,RussiaRUS https://api.fifa.com/api/v3/picture/flags-sq-2/RUS,1493.42,1493.42,-,,
35,AustraliaAUS https://api.fifa.com/api/v3/picture/flags-sq-2/AUS,1484.88,1484.88,-,D,
36,NigeriaNGA https://api.fifa.com/api/v3/picture/flags-sq-2/NGA,1478.78,1478.78,-,D,
37,TurkeyTUR https://api.fifa.com/api/v3/picture/flags-sq-2/TUR,1472.72,1472.72,-,W,
38,ScotlandSCO https://api.fifa.com/api/v3/picture/flags-sq-2/SCO,1471.82,1471.82,-,,
39,HungaryHUN https://api.fifa.com/api/v3/picture/flags-sq-2/HUN,1465.62,1465.62,-,,
40,CanadaCAN https://api.fifa.com/api/v3/picture/flags-sq-2/CAN,1462.32,1462.32,-,W,
41,NorwayNOR https://api.fifa.com/api/v3/picture/flags-sq-2/NOR,1455.43,1455.43,-,L,
42,SlovakiaSVK https://api.fifa.com/api/v3/picture/flags-sq-2/SVK,1455.36,1455.36,-,,
43,ParaguayPAR https://api.fifa.com/api/v3/picture/flags-sq-2/PAR,1454.52,1454.52,-,D,
44,RomaniaROU https://api.fifa.com/api/v3/picture/flags-sq-2/ROU,1453.18,1453.18,-,,
45,EgyptEGY https://api.fifa.com/api/v3/picture/flags-sq-2/EGY,1451.77,1449.51,2.26,LLWDWWW,
46,EcuadorECU https://api.fifa.com/api/v3/picture/flags-sq-2/ECU,1448.27,1448.74,-0.47,DW,
47,Republic of IrelandIRL https://api.fifa.com/api/v3/picture/flags-sq-2/IRL,1444.29,1444.29,-,,
48,QatarQAT https://api.fifa.com/api/v3/picture/flags-sq-2/QAT,1437.91,1431.01,6.9,WLWWWW,
49,Costa RicaCRC https://api.fifa.com/api/v3/picture/flags-sq-2/CRC,1437.43,1437.43,-,W,
50,CameroonCMR https://api.fifa.com/api/v3/picture/flags-sq-2/CMR,1437.35,1437.35,-,W,
51,Saudi ArabiaKSA https://api.fifa.com/api/v3/picture/flags-sq-2/KSA,1434.71,1441.17,-6.46,LDLW,
52,GhanaGHA https://api.fifa.com/api/v3/picture/flags-sq-2/GHA,1428.97,1428.97,-,,
53,MaliMLI https://api.fifa.com/api/v3/picture/flags-sq-2/MLI,1427.98,1427.98,-,,
54,Northern IrelandNIR https://api.fifa.com/api/v3/picture/flags-sq-2/NIR,1424.97,1424.97,-,,
55,GreeceGRE https://api.fifa.com/api/v3/picture/flags-sq-2/GRE,1421.99,1421.99,-,,
56,Côte d'IvoireCIV https://api.fifa.com/api/v3/picture/flags-sq-2/CIV,1417.86,1417.86,-,L,
57,JamaicaJAM https://api.fifa.com/api/v3/picture/flags-sq-2/JAM,1412.13,1412.13,-,D,
58,FinlandFIN https://api.fifa.com/api/v3/picture/flags-sq-2/FIN,1411.77,1411.77,-,L,
59,VenezuelaVEN https://api.fifa.com/api/v3/picture/flags-sq-2/VEN,1409.14,1409.14,-,L,
60,Burkina FasoBFA https://api.fifa.com/api/v3/picture/flags-sq-2/BFA,1397.64,1397.64,-,D,
61,Bosnia and HerzegovinaBIH https://api.fifa.com/api/v3/picture/flags-sq-2/BIH,1391.19,1392.56,-1.37,LL,
62,IcelandISL https://api.fifa.com/api/v3/picture/flags-sq-2/ISL,1385.21,1385.21,-,,
63,PanamaPAN https://api.fifa.com/api/v3/picture/flags-sq-2/PAN,1379.34,1379.34,-,W,
64,Congo DRCOD https://api.fifa.com/api/v3/picture/flags-sq-2/COD,1375.64,1375.64,-,,
65,SloveniaSVN https://api.fifa.com/api/v3/picture/flags-sq-2/SVN,1375.42,1375.42,-,,
66,AlbaniaALB https://api.fifa.com/api/v3/picture/flags-sq-2/ALB,1374.98,1374.98,-,,
67,North MacedoniaMKD https://api.fifa.com/api/v3/picture/flags-sq-2/MKD,1367.23,1367.23,-,,
68,South AfricaRSA https://api.fifa.com/api/v3/picture/flags-sq-2/RSA,1358.24,1358.24,-,,
69,United Arab EmiratesUAE https://api.fifa.com/api/v3/picture/flags-sq-2/UAE,1350.39,1350.41,-0.02,LLWWW,
70,El SalvadorSLV https://api.fifa.com/api/v3/picture/flags-sq-2/SLV,1349.47,1350.63,-1.16,LDL,
71,BulgariaBUL https://api.fifa.com/api/v3/picture/flags-sq-2/BUL,1345.47,1345.47,-,,
72,MontenegroMNE https://api.fifa.com/api/v3/picture/flags-sq-2/MNE,1342.89,1342.89,-,,
73,Cabo VerdeCPV https://api.fifa.com/api/v3/picture/flags-sq-2/CPV,1339.48,1339.48,-,D,
74,China PRCHN https://api.fifa.com/api/v3/picture/flags-sq-2/CHN,1337.33,1337.33,-,D,
75,IraqIRQ https://api.fifa.com/api/v3/picture/flags-sq-2/IRQ,1333.03,1335.58,-2.55,LDDL,
76,HondurasHON https://api.fifa.com/api/v3/picture/flags-sq-2/HON,1332.16,1332.16,-,L,
