Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,
Africa Eastern and Southern,AFE,GDP (current US$),849410000000,945439000000,952676000000,963347000000,979690000000,899296000000,829830000000,940105000000,1012720000000,1006530000000,929074000000,1086770000000,1183960000000,1236160000000
Afghanistan,AFG,GDP (current US$),15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14266499430,14502158192,
Africa Western and Central,AFW,GDP (current US$),598698000000,682233000000,737800000000,834161000000,894585000000,769367000000,692181000000,685750000000,768190000000,823934000000,787147000000,845993000000,877141000000,796586000000
Angola,AGO,GDP (current US$),83799474070,111790000000,128053000000,132339000000,135967000000,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,104400000000,84722957642
Albania,ALB,GDP (current US$),11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,22977677861
Andorra,AND,GDP (current US$),3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324683012,3380602043,3727673593
Arab World,ARB,GDP (current US$),2154250000000,2559860000000,2793780000000,2857870000000,2905080000000,2544140000000,2499970000000,2571050000000,2865540000000,2898670000000,2576550000000,2969120000000,3613680000000,3491520000000
United Arab Emirates,ARE,GDP (current US$),300189000000,360833000000,384610000000,400219000000,414105000000,370275000000,369255000000,390517000000,427049000000,417990000000,349473000000,415179000000,507064000000,504173000000
Argentina,ARG,GDP (current US$),423627000000,530158000000,545982000000,552025000000,526320000000,594749000000,557532000000,643628000000,524820000000,447755000000,385741000000,487903000000,631133000000,640591000000
Armenia,ARM,GDP (current US$),9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513474648,24212134631
American Samoa,ASM,GDP (current US$),573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,
Antigua and Barbuda,ATG,GDP (current US$),1298255556,1281337037,1327107407,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,2033085185
Australia,AUS,GDP (current US$),1148890000000,1398700000000,1547650000000,1577300000000,1468600000000,1351770000000,1207580000000,1326880000000,1429730000000,1394670000000,1330380000000,1559030000000,1692960000000,1723830000000
Austria,AUT,GDP (current US$),392275000000,431685000000,409402000000,430191000000,442585000000,381971000000,395837000000,417261000000,454991000000,444596000000,435049000000,479295000000,470942000000,516034000000
Azerbaijan,AZE,GDP (current US$),52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72356176471
Burundi,BDI,GDP (current US$),2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,2642161669
Belgium,BEL,GDP (current US$),481421000000,523330000000,496153000000,521791000000,535390000000,462336000000,476063000000,502765000000,543299000000,535866000000,526022000000,600904000000,583614000000,632217000000
Benin,BEN,GDP (current US$),9535345016,10693321364,11141358116,12517845124,13284527847,11388160997,11821065853,12701655837,14262408090,14390708751,15686741884,17687623530,17425418044,19673284686
Burkina Faso,BFA,GDP (current US$),10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813502,17725010531,19643166854,18820219331,20324617839
Bangladesh,BGD,GDP (current US$),115276000000,128607000000,133311000000,149999000000,172887000000,195147000000,265225000000,293732000000,321363000000,351232000000,373979000000,416272000000,460132000000,437415000000
Bulgaria,BGR,GDP (current US$),50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66370132238,68881010246,70368758395,84041493016,90346169915,101584000000
Bahrain,BHR,GDP (current US$),25713271277,28776595745,30749308511,32539468085,33387712766,31125851064,32250132979,35423643617,37802005319,38653318085,34621807713,39288670213,44383297872,43205000000
"Bahamas, The",BHS,GDP (current US$),10095760000,10070450000,10720500000,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
Bosnia and Herzegovina,BIH,GDP (current US$),17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23672712242,24534663636,27054889363
