Country,Year,GDP in million GBP
Scotland,2003,1258334
Scotland,2004,1322637
Scotland,2005,1398749
Scotland,2006,1472038
Scotland,2007,1544637
Scotland,2008,1593600
Scotland,2009,1548802
Scotland,2010,1608553
Scotland,2011,1662590
Scotland,2012,1713715
Scotland,2013,1781361
Scotland,2014,1862514
Scotland,2015,1916451
Scotland,2016,1991645
Scotland,2017,2082482
Scotland,2018,2152304
Scotland,2019,2233921
Scotland,2020,2103486
Scotland,2021,2285400
Scotland,2022,2526428
Scotland,2023,2720029
