Country Name,Country Code,Indicator Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"GNI per capita, Atlas method (current US$)",23390,23400,24440,25500,25520,25320,26200,27960,28910,29450,23340,30180,33410,
Africa Eastern and Southern,AFE,"GNI per capita, Atlas method (current US$)",1427.144713,1550.848604,1653.734453,1677.842535,1653.207179,1539.910427,1405.621402,1365.70867,1432.328196,1492.233983,1395.328928,1467.94977,1551.114501,1601.589297
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",530,550,640,670,640,600,560,530,520,520,490,380,360,
Africa Western and Central,AFW,"GNI per capita, Atlas method (current US$)",1559.825734,1595.463596,1767.480926,1928.862168,2100.908549,2012.26192,1785.044932,1600.461741,1627.341279,1698.106763,1696.191823,1748.719321,1785.122371,1702.074629
Angola,AGO,"GNI per capita, Atlas method (current US$)",3230,3410,4160,4710,4810,3930,2550,2090,1970,2110,1690,1640,1870,2130
Albania,ALB,"GNI per capita, Atlas method (current US$)",4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,5270,6100,6770,7570
Andorra,AND,"GNI per capita, Atlas method (current US$)",,,,,,,,,,46530,42280,44350,50080,
Arab World,ARB,"GNI per capita, Atlas method (current US$)",5738.476885,6047.039358,6893.111847,7323.814407,7366.740082,6916.012293,6469.111949,6034.236142,6278.772904,6503.653442,5993.083838,6404.608605,7122.328931,7329.818921
United Arab Emirates,ARE,"GNI per capita, Atlas method (current US$)",34050,37110,41810,45850,47420,46270,44460,42090,44350,46210,41600,43590,49160,53290
Argentina,ARG,"GNI per capita, Atlas method (current US$)",9270,10710,11890,12870,12350,12600,12220,13140,12430,11220,9010,9980,11590,12520
Armenia,ARM,"GNI per capita, Atlas method (current US$)",3390,3470,3840,4110,4170,4080,3850,4070,4410,4880,4470,4850,5960,7330
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI per capita, Atlas method (current US$)",14330,14010,14280,14280,14610,14470,14980,15700,17330,18090,15240,16520,18710,19990
Australia,AUS,"GNI per capita, Atlas method (current US$)",46750,50410,60290,66090,65240,60550,54140,51530,53150,54970,53630,57240,60820,63140
Austria,AUT,"GNI per capita, Atlas method (current US$)",49750,50700,50100,50720,50390,47480,46240,45040,48980,51000,48980,53150,55720,55070
Azerbaijan,AZE,"GNI per capita, Atlas method (current US$)",5410,5570,6480,7450,7740,6610,4790,4110,4080,4510,4480,4910,5670,6680
Burundi,BDI,"GNI per capita, Atlas method (current US$)",210,220,240,240,250,250,250,250,240,230,220,220,240,230
Belgium,BEL,"GNI per capita, Atlas method (current US$)",47080,46490,47130,47900,47820,45570,43400,42520,46060,48100,46100,51060,53890,54530
Benin,BEN,"GNI per capita, Atlas method (current US$)",1050,1060,1090,1180,1230,1140,1070,1050,1150,1200,1230,1330,1400,1440
Burkina Faso,BFA,"GNI per capita, Atlas method (current US$)",630,660,710,750,740,680,660,650,730,750,770,830,850,850
Bangladesh,BGD,"GNI per capita, Atlas method (current US$)",800,890,970,1030,1100,1210,1410,1650,2020,2210,2300,2570,2820,2860
Bulgaria,BGR,"GNI per capita, Atlas method (current US$)",7010,7270,7500,7600,7710,7430,7400,7620,8530,9500,9530,11050,13350,14460
Bahrain,BHR,"GNI per capita, Atlas method (current US$)",19390,19150,23360,24790,24530,22760,21850,21760,23190,24420,22960,24710,27710,28280
"Bahamas, The",BHS,"GNI per capita, Atlas method (current US$)",26900,26540,27160,26200,26520,26760,26920,28420,29460,30210,23550,27880,31030,31990
Bosnia and Herzegovina,BIH,"GNI per capita, Atlas method (current US$)",4820,4900,4900,5160,5170,5130,5060,5050,5700,6160,6120,6910,7650,8160
Belarus,BLR,"GNI per capita, Atlas method (current US$)",6150,6340,6630,7030,7620,6750,5640,5320,5730,6370,6410,7040,7230,7780
Belize,BLZ,"GNI per capita, Atlas method (current US$)",5000,5090,5240,5490,5580,5730,5600,5470,5600,5820,5120,6040,6630,7190
Bermuda,BMU,"GNI per capita, Atlas method (current US$)",103480,101610,100100,101760,99920,101120,103620,112940,117000,117280,111800,122670,134640,
Bolivia,BOL,"GNI per capita, Atlas method (current US$)",1750,1970,2210,2540,2780,2900,2970,3020,3290,3440,3120,3290,3490,3600
Brazil,BRA,"GNI per capita, Atlas method (current US$)",9610,11040,12270,12750,12080,10160,8890,8670,9140,9220,7910,7880,8240,9070
Barbados,BRB,"GNI per capita, Atlas method (current US$)",15990,15470,16200,16150,16110,16220,16400,16560,17170,17820,16570,17140,20210,21280
Brunei Darussalam,BRN,"GNI per capita, Atlas method (current US$)",32680,34830,41580,44520,42380,38250,32690,29400,29030,31880,31210,30320,31410,34970
Bhutan,BTN,"GNI per capita, Atlas method (current US$)",2150,2380,2550,2570,2610,2680,2820,2950,3140,3360,3030,3290,3590,
Botswana,BWA,"GNI per capita, Atlas method (current US$)",5220,6320,6700,6710,6710,5860,5760,5860,6270,6630,6130,6900,7420,7620
Central African Republic,CAF,"GNI per capita, Atlas method (current US$)",480,500,530,350,360,370,380,400,450,470,460,480,480,470
Canada,CAN,"GNI per capita, Atlas method (current US$)",44490,47190,51080,52800,52200,47580,43900,42900,45060,46580,43900,48780,53300,53930
Central Europe and the Baltics,CEB,"GNI per capita, Atlas method (current US$)",12795.51157,12977.5951,13139.69181,13390.18535,13558.4105,13251.11712,12828.3262,13069.07558,14695.03282,15931.58909,15845.4323,17650.2143,19437.14785,20342.12256
Switzerland,CHE,"GNI per capita, Atlas method (current US$)",79040,81330,86720,90590,88250,86810,83360,80770,82470,83160,81740,90810,95490,95160
Channel Islands,CHI,"GNI per capita, Atlas method (current US$)",,,,,,,,,,,,,,
Chile,CHL,"GNI per capita, Atlas method (current US$)",10840,11980,14310,15240,14830,14220,13440,13330,14610,14820,13010,14760,15430,15820
China,CHN,"GNI per capita, Atlas method (current US$)",4340,5040,5910,6740,7470,7890,8210,8670,9540,10310,10520,11950,12890,13400
Cote d'Ivoire,CIV,"GNI per capita, Atlas method (current US$)",1190,1080,1220,1320,1990,2010,2020,2010,2160,2290,2280,2490,2620,2670
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",1440,1450,1450,1510,1550,1520,1450,1400,1500,1540,1520,1590,1630,1650
"Congo, Dem. Rep.",COD,"GNI per capita, Atlas method (current US$)",310,330,370,400,430,440,450,440,480,510,540,560,610,660
"Congo, Rep.",COG,"GNI per capita, Atlas method (current US$)",2650,2600,3350,3590,3820,3100,2280,1760,2080,2200,2250,2220,2290,2470
Colombia,COL,"GNI per capita, Atlas method (current US$)",5680,6370,7330,8000,8260,7400,6530,6010,6320,6590,5810,6220,6630,6870
Comoros,COM,"GNI per capita, Atlas method (current US$)",1450,1480,1500,1580,1580,1470,1410,1370,1480,1520,1520,1580,1610,1600
Cabo Verde,CPV,"GNI per capita, Atlas method (current US$)",3520,3640,3580,3640,3520,3360,3280,3280,3630,3930,3100,3400,4060,4280
Costa Rica,CRI,"GNI per capita, Atlas method (current US$)",7190,8020,9190,9840,10250,10610,11000,11400,11880,12040,11500,12380,12920,13850
Caribbean small states,CSS,"GNI per capita, Atlas method (current US$)",10051.76265,10182.26016,10627.9795,10712.9589,10848.66903,10810.52277,10607.63765,10769.69234,11183.84502,11523.03519,10187.4419,11355.21559,13923.36492,15829.80987
Cuba,CUB,"GNI per capita, Atlas method (current US$)",5170,5590,6080,6620,6820,7220,7480,7950,8630,8920,,,,
Curacao,CUW,"GNI per capita, Atlas method (current US$)",,,,19020,18980,18780,18260,18230,18820,19140,16300,18160,20590,
Cayman Islands,CYM,"GNI per capita, Atlas method (current US$)",73590,74100,51400,45330,43850,44970,48480,52670,58820,65690,57410,62660,68790,
Cyprus,CYP,"GNI per capita, Atlas method (current US$)",32170,32680,29760,27860,26590,26090,24840,25020,27390,28560,26870,29490,31520,30990
Czechia,CZE,"GNI per capita, Atlas method (current US$)",19400,19460,19440,19410,18900,18370,17670,18310,20560,22120,21800,24530,26140,27110
Germany,DEU,"GNI per capita, Atlas method (current US$)",44680,47320,46560,47220,47640,45780,44280,43760,47490,49410,47970,52050,54030,53970
Djibouti,DJI,"GNI per capita, Atlas method (current US$)",,,,,,2410,2510,2590,2750,2820,2830,3050,3370,3450
Dominica,DMA,"GNI per capita, Atlas method (current US$)",6930,7140,7060,6910,7220,6990,7410,7400,7890,8250,7160,7780,8470,8920
Denmark,DNK,"GNI per capita, Atlas method (current US$)",61220,61990,61650,63200,63670,60510,58040,56690,61260,63140,62540,69780,73520,73360
Dominican Republic,DOM,"GNI per capita, Atlas method (current US$)",5280,5490,5730,5970,6260,6500,6780,7000,7680,7990,7170,8100,9070,9700
Algeria,DZA,"GNI per capita, Atlas method (current US$)",4920,5100,5690,6030,6100,5460,4980,4500,4510,4540,4070,4170,4490,4960
East Asia & Pacific (excluding high income),EAP,"GNI per capita, Atlas method (current US$)",3755.088567,4340.816868,5073.401197,5699.180697,6196.420943,6446.266171,6652.554954,6991.588543,7672.150162,8259.198545,8332.187363,9340.14367,10068.26627,10446.11547
