Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,398268156.424581,473296089.385475,579608938.547486,684245810.055866,757039106.145251,864301675.977654,948994413.407821,1065363128.49162,1225810055.86592,1305474860.3352,1362067039.10615,1508659217.87709,1659776536.31285,1680223463.68715,1849411061.45251,1839207486.03352,1826138994.41341,1990803463.68715,2180507318.43575,1881063631.28492,2363943575.41899,2293013743.01676,2726393631.28492,2465043407.82123,2313385195.53073,2391841396.64804,2499117877.09497,2563517262.56983,2688102402.23464,2838143910.61453,2848406201.11732,2921801005.58659,3061447262.56983,3242394301.67598,2490732720.32184,3009247534.1812,3421948336.71287,,
Africa Eastern and Southern,AFE,GNI (current US$),NY.GNP.MKTP.CD,20001585978.4218,20981593178.6592,22341673214.1055,24307014837.3943,26288360269.5868,28759832889.4707,31412745128.4692,34283749979.3775,36970196647.6564,40977519222.9253,41670143433.108,45442508526.5087,49189615516.0059,63428993961.1136,77551361142.0819,82354705934.9613,83605210288.8416,93895896555.2883,105334225092.235,123112110291.661,159011013729.378,168342478038.718,159967904707.07,170302130367.262,157260430537.457,135166304243.861,145428991892.567,175273509529.123,190387155648.949,201999811645.817,234867425141.074,254055676195.302,226983643952.241,228595787815.535,231186133548.204,262228462322.414,261273778128.745,276957203487.634,257913633806.839,253729013871.027,274679022429.401,248639997772.111,255790522558.038,341615652544.509,425857116392.128,496002595279.005,555328642394.902,632733845211.74,672597020023.337,686170792593.75,810690473586.741,903404139970.847,917046944766.792,924702109234.484,942981249348.616,868807905775.34,808463700330.522,912391403685.918,984099484466.085,978305204225.592,909682957916.538,1061094439371.1,1152519711371.57,1210158586837.79,
Afghanistan,AFG,GNI (current US$),NY.GNP.MKTP.CD,548888848.888889,560000022.222222,557777806.666667,766666706.666667,815555562.222222,1026666677.77778,1428888871.11111,1708888882.22222,1402222182.22222,1437777737.77778,1784444426.66667,1868886653.33333,1631108937.77778,1771108944.44444,2202222228.88889,2417777777.77778,2611111162.22222,3017777697.77778,3371111037.77778,3775743789.47368,3716553247.16553,3551514995.9596,,,,,,,,,,,,,,,,,,,3411145674.07204,2824372441.02049,3886746599.72657,4582016675.61324,5291642598.0037,6280264337.36715,7100373840.59309,9877773213.94871,10107195992.8587,12378340930.5187,15885775064.3022,17781511431.23,19961261595.0253,20209353657.8054,20559672324.9094,19249499438.7455,18350475875.2999,18961769787.4548,18294513957.5523,19080662010.7479,20105156769.1907,14352632363.74,14545219074.5763,,
Africa Western and Central,AFW,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531049429809.495,475209430784.245,556468123825.867,632668149687.626,690234145708.578,781736083039.484,860750790597.47,747445239539.608,676092994046.08,664561540959.562,744306427396.065,800955122690.921,772644072306.865,820133396465.633,845749906899.205,772209729778.516,
Angola,AGO,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300000000,1940522875.81699,4771412762.81815,5062098717.14643,6754422454.24632,5537596419.67954,4780893222.00189,7448734939.06306,7375089140.55224,13650936249.8552,16086223620.71,21063493968.8499,32940012221.5522,46203157632.0507,57667388175.1557,74821117363.3528,63484054938.5189,75712612170.385,102092420980.521,117631162050.135,122755567484.069,127708790750.385,85895384571.8913,50010057162.8966,69161228469.5293,73313113234.9782,64488157748.8541,44145038180.9309,61051288255.5472,96358693004.0163,77036116985.7039,
Albania,ALB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1860537995.338,1898450116.55012,2097426250,2081196250,2051436250,2252990000,2026653750,1077859027.77778,617074990.170926,1219215468.95285,1894750864.46173,2436364853.42107,3271323089.4058,2308847102.93115,2622487165.91691,3287389862.41854,3585007221.82101,4048094111.09564,4457186384.03827,5762066193.23098,7353974652.91914,8214108577.31472,9158294214.47949,10975296958.7017,12946373404.4206,11852736925.0939,11807769437.1323,12894099798.9481,12228069196.1144,12996543353.0861,13349419700.4171,11521811393.6203,12053832974.203,13051517643.6213,15137984850.8323,15200244588.0406,14912504601.9328,17680966714.6445,18569375310.9639,22674870567.8374,
Andorra,AND,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462355542.77557,3268588339.05242,3576594870.23086,3715911789.38931,,
Arab World,ARB,GNI (current US$),NY.GNP.MKTP.CD,,,,,,26120882485.0745,27670781928.9728,29837966497.1271,33808220889.4773,37514644335.9661,41559796148.0127,49063166477.0304,60531591557.8151,76350456593.5664,152075453853.677,172670688606.792,213244998998.778,245427355775.368,270951036359.103,368324551443.976,489856189637.878,498396640822.476,469690653450.56,447106366907.718,447476764760.128,439346713299.024,413058158403.446,439271720296.646,438137965103.371,467923272137.306,648303812018.185,467719027919.148,471218778515.667,478805804964.966,496999306037.359,530276665285.694,572111389137.475,616883101506.939,603919998156.642,658236064281.158,761187436346.643,741828200984.878,737457955916.722,817055157047.843,977583560228.727,1201301096219.7,1446019833722.62,1691632072612.8,2124787524448.56,1827726535279.89,2143004672050.4,2541532310489.88,2786882948725.59,2856672108212.43,2908676660962.44,2557433515222.29,2515191785733,2588063889078.44,2866747658644.94,2898599857383.97,2572183698892.13,2972088481328.21,3605138343213.03,3489133579383.63,
United Arab Emirates,ARE,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,1013827078.97949,1404797336.91345,1949807451.05882,3755519161.39909,11483447260.4357,14704238186.5916,19108219775.7128,24243553279.7703,23905226488.7453,33485412239.8568,45645874046.5107,51224321309.584,48291066999.2029,43184024527.6595,42501107775.5429,41960869171.447,33400856614.4402,36432286281.7235,36832778570.5148,42626953329.6821,54023555494.6254,53067268836.8292,55543310460.365,56568307273.2226,60027340288.7497,67623645518.9322,74877992399.891,81394151648.0523,79921625595.6433,84382386766.5078,109429271613.342,108376310415.248,110737372362.151,124291899251.191,148532334921.715,183503880190.606,226854458815.521,266289176310.415,319278420694.35,256161470388.019,300106194690.266,360974812797.822,384909462219.197,400680735194.01,414758339006.127,372019060585.432,371351940095.303,393296119809.394,428473791695.031,420059904697.073,347594281824.37,414442477876.106,504574791967.325,503253834193.928,
Argentina,ARG,GNI (current US$),NY.GNP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,103270000000,107138285714.286,83672500000,101414893617.021,103962616822.43,121405714285.714,70212828648.3678,135150300109.313,183857364656.529,224521060685.899,233743662862.863,253743263100,253362890700,266647700700,286641204400,291542201400,276059280100,276655968900,260969968100,92763789032.7018,122451951871.839,146361588317.154,176153368006.277,224897476611.227,279994211725.862,352615480862.974,322744327792.305,409192468872.686,515004538945.145,533073608485.977,540185748561.537,515532241212.846,583615452086.538,545251641127.714,627200463933.824,506094045059.703,430166792070.565,375344057341.93,478061739465.094,619144891408.819,626338098711.41,
