Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,5,3,4,3,1,6,8,5,10,3,3,2,2,1,4,11,9,7,5,2.0
Brazil,1,1,1,1,2,5,2,4,6,18,10,6,6,2,2,3,3,3,2,1.0
Colombia,39,26,24,34,17,49,39,48,36,5,4,3,8,6,13,12,10,15,16,17.0
England,8,8,9,5,12,8,9,6,5,6,13,13,9,13,15,5,4,4,4,5.0
France,2,2,5,4,7,11,7,18,15,17,20,7,25,7,9,2,2,2,3,3.0
Germany,12,19,16,6,5,2,6,3,3,2,2,1,4,3,1,16,15,13,12,14.0
Indonesia,91,91,109,153,133,139,120,127,142,156,161,159,179,171,162,1591,173,173,164,151.0
Italy,10,10,12,2,3,4,4,14,9,4,7,11,15,16,14,18,13,10,6,8.0
South Korea,22,22,29,51,42,42,52,40,32,35,54,69,51,37,60,53,40,38,33,25.0
Mexico,7,7,5,20,15,26,17,27,21,15,21,20,22,18,16,17,11,9,14,15.0
Netherlands,4,6,3,7,9,3,3,2,2,8,9,5,14,22,20,14,14,14,10,6.0
Poland,25,25,22,24,22,34,58,73,66,55,76,41,34,15,7,20,19,19,27,22.0
Portugal,17,9,10,8,8,11,5,8,7,7,5,7,7,8,3,6,7,5,8,9.0
Qatar,65,66,95,58,87,84,86,112,93,98,103,95,86,87,102,93,55,58,48,60.0
Saudi Arabia,26,28,33,64,61,48,63,80,96,126,87,102,80,54,63,69,67,67,51,49.0
Scotland,54,86,60,25,14,33,46,52,47,72,34,36,52,67,34,38,50,48,38,42.0
Spain,3,5,5,12,4,1,1,1,1,1,1,9,3,10,6,9,8,6,7,10.0
Switzerland,44,51,35,17,44,24,18,22,17,12,8,12,12,11,8,8,12,16,13,12.0
Turkey,8,14,11,26,16,10,41,31,28,40,43,49,21,24,42,39,29,32,37,
United States,11,11,8,31,19,22,14,18,34,28,14,27,32,28,24,25,22,22,11,13.0
