Country,Year,FIFA Ranking,Number of Players,Average Market Value (in Million USD),Total Market Value (in Million USD),GDP,GNI
Argentina,2003,5.0,98.0,,,127586973492.177,127586973492.177
Argentina,2004,3.0,71.0,,,164657930452.787,164657930452.787
Argentina,2005,4.0,80.0,,,198737095012.282,198737095012.282
Argentina,2006,3.0,85.0,,,232557260817.308,232557260817.308
Argentina,2007,1.0,85.0,,,287530508430.568,287530508430.568
Argentina,2008,6.0,91.0,,,361558037110.419,361558037110.419
Argentina,2009,8.0,103.0,,,332976484577.619,332976484577.619
Argentina,2010,5.0,98.0,,,423627422092.49,423627422092.49
Argentina,2011,10.0,101.0,,,530158122010.442,530158122010.442
Argentina,2012,3.0,103.0,,,545982375701.128,545982375701.128
Argentina,2013,3.0,105.0,,,552025140252.246,552025140252.246
Argentina,2014,2.0,110.0,,,526319673731.638,526319673731.638
Argentina,2015,2.0,96.0,0.48405000000000004,637.1505,594749285413.212,594749285413.212
Argentina,2016,1.0,98.0,586.95,823.2840000000001,557532320662.955,557532320662.955
Argentina,2017,4.0,102.0,0.66045,801.0765,643628393281.364,643628393281.364
Argentina,2018,11.0,89.0,0.7948500000000001,969.99,524819892360.176,524819892360.176
Argentina,2019,9.0,78.0,0.89145,1207.5,447754683615.225,447754683615.225
Argentina,2020,7.0,83.0,,,385740508436.965,385740508436.965
Argentina,2021,5.0,74.0,0.82845,993.3315,487902572164.348,487902572164.348
Argentina,2022,2.0,82.0,0.6678000000000001,828.4815,631133384439.944,631133384439.944
Argentina,2023,,75.0,0.75915,947.268,640591410663.883,640591410663.883
Brazil,2003,1.0,104.0,,,558233745651.874,558233745651.874
Brazil,2004,1.0,107.0,,,669289424806.307,669289424806.307
Brazil,2005,1.0,129.0,,,891633839853.105,891633839853.105
Brazil,2006,1.0,123.0,0.2604,217.14000000000001,1107626541710.74,1107626541710.74
Brazil,2007,2.0,144.0,0.24465000000000003,245.85750000000002,1397114486471.38,1397114486471.38
Brazil,2008,5.0,148.0,0.29819999999999997,296.15250000000003,1695855083552.05,1695855083552.05
Brazil,2009,2.0,123.0,0.6048,555.9225000000001,1666996438681.46,1666996438681.46
Brazil,2010,4.0,115.0,0.8547,958.6815,2208837745214.23,2208837745214.23
Brazil,2011,6.0,107.0,1.03845,1123.5,2616156223977.47,2616156223977.47
Brazil,2012,18.0,120.0,1.0185,1123.5,2465227803011.57,2465227803011.57
Brazil,2013,10.0,111.0,0.87675,987.189,2472819535742.73,2472819535742.73
Brazil,2014,6.0,110.0,0.8137500000000001,847.9275,2456043727198.85,2456043727198.85
Brazil,2015,6.0,128.0,0.7150500000000001,749.7315,1802212206904.68,1802212206904.68
Brazil,2016,2.0,122.0,0.67725,732.5115000000001,1795693482652.52,1795693482652.52
Brazil,2017,2.0,117.0,1.04895,1081.5,2063514977334.32,2063514977334.32
Brazil,2018,3.0,118.0,0.9460500000000001,1081.5,1916933898038.36,1916933898038.36
Brazil,2019,3.0,126.0,1.0311000000000001,1102.5,1873288205186.45,1873288205186.45
Brazil,2020,3.0,112.0,0.8673,987.9240000000001,1476107231194.11,1476107231194.11
Brazil,2021,2.0,106.0,1.0321500000000001,1218.0,1670647399034.67,1670647399034.67
Brazil,2022,1.0,107.0,1.2075,1302.0,1951923942083.32,1951923942083.32
Brazil,2023,,107.0,1.6170000000000002,1753.5,2173665655937.27,2173665655937.27
Colombia,2003,39.0,6.0,,,94644969157.0987,94644969157.0987
Colombia,2004,26.0,8.0,,,117092416666.245,117092416666.245
Colombia,2005,24.0,10.0,,,145600529605.803,145600529605.803
Colombia,2006,34.0,10.0,,,161792958904.864,161792958904.864
Colombia,2007,17.0,13.0,,,206229540926.311,206229540926.311
Colombia,2008,49.0,12.0,,,242504150472.931,242504150472.931
Colombia,2009,39.0,17.0,0.0546,39.522000000000006,232468663109.594,232468663109.594
Colombia,2010,48.0,18.0,0.0567,46.242000000000004,286498534094.963,286498534094.963
Colombia,2011,36.0,21.0,0.063,52.206,334966134804.887,334966134804.887
Colombia,2012,5.0,19.0,0.22155,185.9865,370691143018.039,370691143018.039
Colombia,2013,4.0,30.0,0.21525,184.2015,382093697077.685,382093697077.685
Colombia,2014,3.0,25.0,0.30555,225.22500000000002,381240864422.406,381240864422.406
Colombia,2015,8.0,25.0,0.24465000000000003,215.25,293492370193.166,293492370193.166
Colombia,2016,6.0,23.0,0.23205,191.73,282720100286.228,282720100286.228
Colombia,2017,13.0,24.0,0.24885,215.67000000000002,311866875156.879,311866875156.879
Colombia,2018,12.0,24.0,0.31185,266.2275,334198218098.276,334198218098.276
Colombia,2019,10.0,23.0,0.31815,291.459,323031701192.84,323031701192.84
Colombia,2020,15.0,22.0,,,270348342541.465,270348342541.465
Colombia,2021,16.0,23.0,0.40635000000000004,333.8265,318524633225.395,318524633225.395
Colombia,2022,17.0,27.0,0.3297,275.52,345329875078.512,345329875078.512
Colombia,2023,,27.0,0.31395,287.60550000000006,363540156234.868,363540156234.868
England,2003,8.0,191.0,,,2054420000000.0,1923870000000.0
England,2004,8.0,200.0,3.696,2446.5,2421530000000.0,2268310000000.0
England,2005,9.0,197.0,3.8325,2520.0,2543180000000.0,2579430000000.0
England,2006,5.0,193.0,3.7800000000000002,2730.0,2708440000000.0,2728980000000.0
England,2007,12.0,173.0,4.494000000000001,3328.5,3090510000000.0,2905850000000.0
England,2008,8.0,189.0,5.0925,3769.5,2929410000000.0,2990660000000.0
England,2009,9.0,182.0,4.8615,3664.5,2412840000000.0,2745240000000.0
England,2010,6.0,192.0,5.25,3958.5,2485480000000.0,2621560000000.0
England,2011,5.0,195.0,5.082,3748.5,2663810000000.0,2599970000000.0
England,2012,6.0,179.0,5.418,3979.5,2707090000000.0,2662480000000.0
England,2013,13.0,164.0,5.5755,4242.0,2784850000000.0,2744030000000.0
England,2014,13.0,227.0,5.932500000000001,4420.5,3064710000000.0,2879860000000.0
England,2015,9.0,222.0,6.426,5103.0,2927910000000.0,2890070000000.0
England,2016,13.0,223.0,7.896,6174.0,2689110000000.0,2818540000000.0
England,2017,15.0,215.0,11.518500000000001,8484.0,2680150000000.0,2752280000000.0
England,2018,5.0,209.0,13.377,10300.5,2871340000000.0,2792600000000.0
England,2019,4.0,241.0,11.245500000000002,8715.0,2851410000000.0,2890070000000.0
England,2020,4.0,257.0,12.022499999999999,9618.0,2697810000000.0,2599180000000.0
England,2021,4.0,283.0,12.18,9807.0,3141510000000.0,3052770000000.0
England,2022,5.0,271.0,14.143500000000001,1188.6000000000001,3088840000000.0,3297430000000.0
England,2023,,304.0,15.015,1283.1000000000001,3340030000000.0,3266990000000.0
France,2003,2.0,365.0,,,1844544792036.86,1844544792036.86
France,2004,2.0,330.0,1.7535,1092.0,2119633181634.37,2119633181634.37
France,2005,5.0,329.0,2.016,1333.5,2196945232435.8,2196945232435.8
France,2006,4.0,311.0,2.2575,1491.0,2320536221304.7,2320536221304.7
France,2007,7.0,325.0,2.4255,1585.5,2660591246211.77,2660591246211.77
France,2008,11.0,335.0,2.3835,1543.5,2930303780828.12,2930303780828.12
France,2009,7.0,310.0,2.562,1669.5,2700887366932.03,2700887366932.03
France,2010,18.0,315.0,2.52,1680.0,2645187882116.67,2645187882116.67
France,2011,15.0,309.0,2.4255,1669.5,2865157541994.17,2865157541994.17
France,2012,17.0,316.0,2.415,1701.0,2683671716967.19,2683671716967.19
France,2013,20.0,298.0,2.52,1837.5,2811876903329.03,2811876903329.03
France,2014,7.0,346.0,2.583,1722.0,2855964488590.19,2855964488590.19
France,2015,25.0,383.0,2.709,1879.5,2439188643162.5,2439188643162.5
France,2016,7.0,369.0,3.003,2247.0,2472964344587.17,2472964344587.17
France,2017,9.0,343.0,5.3445,3654.0,2595151045197.65,2595151045197.65
France,2018,2.0,368.0,5.596500000000001,4221.0,2790956878746.66,2790956878746.66
France,2019,2.0,357.0,5.3549999999999995,3580.5,2728870246705.88,2728870246705.88
France,2020,2.0,410.0,5.838,4221.0,2647418691598.45,2647418691598.45
France,2021,3.0,416.0,5.691,4420.5,2959355819170.5,2959355819170.5
France,2022,3.0,423.0,5.985,4525.5,2779092236505.85,2779092236505.85
France,2023,,383.0,6.573,4588.5,3030904089607.9,3030904089607.9
Germany,2003,12.0,226.0,,,2501640388482.35,2501640388482.35
Germany,2004,19.0,214.0,1.9949999999999999,1144.5,2814353869359.08,2814353869359.08
Germany,2005,16.0,231.0,2.1734999999999998,1270.5,2846864211175.1,2846864211175.1
Germany,2006,6.0,223.0,2.4045,1365.0,2994703642023.53,2994703642023.53
Germany,2007,5.0,212.0,2.541,1554.0,3425578382921.58,3425578382921.58
Germany,2008,2.0,202.0,2.9085,1753.5,3745264093617.19,3745264093617.19
Germany,2009,6.0,204.0,3.045,1869.0,3411261212652.34,3411261212652.34
Germany,2010,3.0,214.0,3.4965,2026.5,3399667820000.01,3399667820000.01
Germany,2011,3.0,223.0,3.3495,2016.0,3749314991050.59,3749314991050.59
Germany,2012,2.0,229.0,3.6435000000000004,2173.5,3527143188785.16,3527143188785.16
Germany,2013,2.0,254.0,4.053,2520.0,3733804649549.03,3733804649549.03
Germany,2014,1.0,272.0,4.557,2614.5,3889093051023.52,3889093051023.52
Germany,2015,4.0,274.0,4.683,2814.0,3357585719351.56,3357585719351.56
Germany,2016,3.0,268.0,4.704000000000001,3024.0,3469853463945.53,3469853463945.53
Germany,2017,1.0,268.0,6.9719999999999995,4189.5,3690849152517.65,3690849152517.65
Germany,2018,16.0,258.0,8.0955,5124.0,3974443355019.6,3974443355019.6
Germany,2019,15.0,282.0,7.3709999999999996,4693.5,3889177589254.9,3889177589254.9
Germany,2020,13.0,264.0,8.0535,5040.0,3887727161914.41,3887727161914.41
Germany,2021,12.0,285.0,7.0455000000000005,4567.5,4278503934689.85,4278503934689.85
Germany,2022,14.0,287.0,7.581,4893.0,4082469490797.68,4082469490797.68
Germany,2023,,295.0,8.19,5145.0,4456081016705.96,4456081016705.96
Indonesia,2003,91.0,,,,234772463823.808,234772463823.808
Indonesia,2004,91.0,,,,256836875295.452,256836875295.452
Indonesia,2005,109.0,,,,285868619196.085,285868619196.085
Indonesia,2006,153.0,,,,364570515618.357,364570515618.357
Indonesia,2007,133.0,,,,432216737774.861,432216737774.861
Indonesia,2008,139.0,,0.026250000000000002,2.3415,510228634990.598,510228634990.598
