Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,98.0,71.0,80.0,85.0,85.0,91.0,103.0,98.0,101.0,103.0,105.0,110.0,96.0,98.0,102.0,89.0,78.0,83.0,74.0,82.0,75.0
Brazil,104.0,107.0,129.0,123.0,144.0,148.0,123.0,115.0,107.0,120.0,111.0,110.0,128.0,122.0,117.0,118.0,126.0,112.0,106.0,107.0,107.0
Colombia,6.0,8.0,10.0,10.0,13.0,12.0,17.0,18.0,21.0,19.0,30.0,25.0,25.0,23.0,24.0,24.0,23.0,22.0,23.0,27.0,27.0
England,191.0,200.0,197.0,193.0,173.0,189.0,182.0,192.0,195.0,179.0,164.0,227.0,222.0,223.0,215.0,209.0,241.0,257.0,283.0,271.0,304.0
France,365.0,330.0,329.0,311.0,325.0,335.0,310.0,315.0,309.0,316.0,298.0,346.0,383.0,369.0,343.0,368.0,357.0,410.0,416.0,423.0,383.0
Germany,226.0,214.0,231.0,223.0,212.0,202.0,204.0,214.0,223.0,229.0,254.0,272.0,274.0,268.0,268.0,258.0,282.0,264.0,285.0,287.0,295.0
Indonesia,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,1.0
Italy,318.0,374.0,382.0,388.0,351.0,352.0,330.0,295.0,297.0,286.0,277.0,361.0,358.0,382.0,349.0,326.0,328.0,344.0,357.0,327.0,320.0
South Korea,2.0,1.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,8.0,6.0,8.0
Mexico,3.0,2.0,4.0,5.0,9.0,9.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,7.0,7.0,10.0,7.0,7.0,11.0,7.0,9.0
Netherlands,35.0,31.0,37.0,37.0,29.0,34.0,30.0,34.0,35.0,30.0,34.0,33.0,41.0,41.0,50.0,48.0,56.0,70.0,78.0,67.0,62.0
Poland,12.0,17.0,16.0,18.0,19.0,16.0,16.0,18.0,17.0,19.0,25.0,25.0,22.0,30.0,30.0,29.0,30.0,36.0,38.0,43.0,37.0
Portugal,29.0,31.0,36.0,38.0,39.0,37.0,34.0,32.0,37.0,44.0,41.0,44.0,45.0,50.0,45.0,54.0,58.0,69.0,61.0,76.0,71.0
Qatar,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,2.0,,,,,,
Scotland,28.0,20.0,21.0,21.0,16.0,8.0,22.0,21.0,21.0,20.0,20.0,19.0,19.0,21.0,14.0,12.0,20.0,22.0,29.0,27.0,25.0
Spain,361.0,398.0,368.0,337.0,351.0,351.0,365.0,366.0,371.0,367.0,362.0,415.0,419.0,408.0,413.0,416.0,475.0,520.0,535.0,498.0,496.0
Switzerland,15.0,20.0,27.0,25.0,26.0,27.0,27.0,26.0,25.0,25.0,31.0,31.0,41.0,40.0,40.0,33.0,34.0,42.0,38.0,29.0,36.0
Turkey,15.0,12.0,14.0,9.0,12.0,18.0,13.0,12.0,17.0,15.0,15.0,15.0,16.0,17.0,17.0,21.0,19.0,23.0,21.0,19.0,16.0
United States,11.0,14.0,11.0,20.0,17.0,13.0,17.0,18.0,19.0,16.0,15.0,16.0,16.0,15.0,16.0,22.0,18.0,19.0,32.0,26.0,27.0
